Task ID,Week,Date,Sprint,Model Accuracy,Time Spent (hrs),Team Member IDs,Blocked,Notes,Task Start Date,Priority,Status
Task-1,1,2023-01-01,Sprint-1,0.6533,7,"1006, 1002, 1010, 1008",False,Needs review,2023-01-08,Low,Moderate
Task-1,2,2023-01-08,Sprint-1,0.8854,21,"1005, 1010, 1002, 1003",True,Needs review,2023-01-08,Low,Moderate
Task-1,3,2023-01-15,Sprint-2,0.783,31,"1008, 1003",True,Awaiting feedback,2023-01-08,Low,Moderate
Task-1,4,2023-01-22,Sprint-2,0.9478,36,"1008, 1005",True,On track,2023-01-08,Low,Moderate
Task-1,5,2023-01-29,Sprint-3,0.9591,54,"1002, 1001, 1004, 1005",False,On track,2023-01-08,Low,Moderate
Task-2,1,2023-01-01,Sprint-1,0.5729,11,"1001, 1005",True,Needs review,2023-01-05,Low,Simple
Task-2,2,2023-01-08,Sprint-1,0.9044,17,"1003, 1001, 1006, 1010",True,Pending data,2023-01-05,Low,Simple
Task-2,3,2023-01-15,Sprint-2,0.8369,29,"1003, 1007",False,Stable progress,2023-01-05,Low,Simple
Task-2,4,2023-01-22,Sprint-2,0.6621,48,"1006, 1003, 1002, 1010",True,Awaiting feedback,2023-01-05,Low,Simple
Task-2,5,2023-01-29,Sprint-3,0.9398,60,"1006, 1004, 1010, 1008",False,Stable progress,2023-01-05,Low,Simple
Task-3,1,2023-01-01,Sprint-1,0.8862,17,"1001, 1006, 1007, 1008",False,Stable progress,2023-01-01,High,Simple
Task-3,2,2023-01-08,Sprint-1,0.9639,27,"1008, 1007, 1004, 1003",True,Stable progress,2023-01-01,High,Simple
Task-3,3,2023-01-15,Sprint-2,0.8813,44,"1002, 1001, 1004",True,Awaiting feedback,2023-01-01,High,Simple
Task-3,4,2023-01-22,Sprint-2,0.8752,58,"1007, 1010, 1009",False,Awaiting feedback,2023-01-01,High,Simple
Task-3,5,2023-01-29,Sprint-3,0.6893,67,"1004, 1010, 1009, 1005",False,Needs review,2023-01-01,High,Simple
Task-4,1,2023-01-01,Sprint-1,0.8869,19,"1010, 1006, 1007",False,On track,2023-01-06,Medium,Complex
Task-4,2,2023-01-08,Sprint-1,0.8893,26,"1009, 1005, 1001, 1010",False,Needs review,2023-01-06,Medium,Complex
